Cocunut,Mortgage_YN,AGE_AT_ORIGINATION,AGE,YEARS_WITH_BANK,MARTIAL_STATUS,EDUCATION,EMPLOYMENT,GENDER,CUST_INCOME,CURRENT_ADDRESS_DATE,CURRENT_JOB_DATE,CURRENT_WITH_BANK_DATE,CURRENT_BALANCE_EUR
219,Y,35,37,2,M,BCR,STE,M,336,8111538,2011-07-02,2013-08-01,2015-03-11
220,Y,46,47,11,M,BCR,PVE,M,1179,479692,2015-06-01,2010-01-01,2005-07-13
225,Y,39,41,15,M,BCR,PVE,F,1174,461615,2007-01-01,2002-03-18,2002-03-22
228,Y,33,35,2,M,HGH,PVE,F,363,8417692,2014-06-01,2011-05-01,2015-03-16
231,Y,35,37,12,M,BCR,STE,F,946,8230769,2009-01-01,2005-06-01,2005-06-07
233,Y,33,35,8,M,HGH,PVE,F,463,1692308,2006-10-01,2011-01-01,2008-09-01
246,Y,31,33,9,S,BCR,PVE,F,6293,229385,1992-09-01,2010-08-01,2007-08-15
249,Y,46,48,15,M,BCR,STE,M,1437,553846,2004-09-11,2004-11-10,2001-12-26
250,Y,39,41,9,M,BCR,PVE,M,916,2923077,2016-06-28,2013-02-01,2007-07-30
251,Y,46,48,11,M,BCR,PVE,F,651,4864615,1996-09-14,2006-03-20,2006-03-22
257,Y,57,59,11,M,HGH,PVE,M,346,1538462,1988-04-22,1989-08-11,2005-07-06
261,Y,56,58,11,M,HGH,PVE,F,323,7163846,2005-01-12,2001-11-01,2006-05-24
269,Y,40,43,12,S,MAS,OTH,M,709,4384615,9999-10-01,9999-10-01,2005-02-04
273,Y,35,37,5,S,BCR,PVE,F,1199,507692,2011-01-01,2013-04-22,2012-03-21
280,Y,56,59,13,M,BCR,STE,M,784,8176923,1991-06-01,2005-12-12,2003-07-21
282,Y,42,44,12,M,BCR,PVE,M,1531,315923,2008-01-01,2004-08-23,2004-10-21
291,Y,59,61,10,S,HGH,SFE,M,256,4102308,1998-08-03,2000-04-03,2006-11-15
299,Y,45,47,13,S,BCR,PVE,M,1869,337,2000-09-01,2003-10-01,2003-10-03
302,Y,36,38,12,M,BCR,STE,M,313,769231,2000-07-21,1999-01-01,2005-03-07
303,Y,36,38,11,S,BCR,PVE,M,1816,169231,2015-03-01,2007-05-15,2006-01-28
307,Y,37,39,13,S,HGH,PVE,M,333,21,2006-09-01,2001-06-01,2003-12-11
308,Y,40,42,14,M,MAS,PVE,M,5561,223077,2010-06-01,2014-12-01,2003-02-08
309,Y,60,62,15,S,MAS,STE,F,430,6282308,1999-06-14,1986-12-02,2001-12-17
314,Y,41,43,2,M,HGH,STE,F,277,1538462,2016-01-01,2011-02-14,2014-11-13
316,Y,45,47,12,M,HGH,STE,M,556,7,2012-05-01,1989-06-01,2004-08-20
324,Y,40,42,4,S,BCR,STE,M,787,3307692,1994-11-01,2013-04-15,2013-05-28
325,Y,39,41,10,M,BCR,STE,F,291,4384615,2003-12-15,1998-09-01,2006-08-31
326,Y,50,52,13,M,BCR,STE,F,281,238462,1985-08-26,2001-10-02,2004-01-16
327,Y,34,36,13,S,HGH,PVE,M,563,1686923,1981-12-05,2007-05-01,2004-06-01
330,Y,45,47,10,M,BCR,STE,F,392,8846154,2006-12-08,2001-01-27,2006-07-10
331,Y,27,29,2,S,HGH,STE,M,675,5384615,1998-10-01,2010-10-25,2015-05-25
332,Y,57,59,12,M,BCR,RET,F,636,6776154,2003-10-18,9999-10-01,2004-12-27
340,Y,46,48,12,M,HGH,PVE,M,973,8516154,1981-11-29,2005-01-01,2005-01-24
342,Y,42,44,2,S,BCR,STE,F,353,5076923,2014-10-01,2010-09-01,2015-06-10
344,Y,39,41,12,M,BCR,PVE,M,1429,307692,2011-08-01,9999-10-01,2005-03-10
346,Y,42,44,12,S,MAS,STE,F,396,4455385,2015-06-01,2002-01-15,2004-10-29
350,Y,41,43,11,M,HGH,PVE,M,615,3846154,1974-10-26,2004-02-01,2006-02-07
359,Y,44,46,5,M,HGH,PVE,M,313,8076923,1971-08-09,2001-11-10,2011-09-02
363,Y,33,34,11,M,HGH,PVE,M,384,6153846,2010-05-01,2014-12-20,2006-06-23
367,Y,34,36,11,S,BCR,PVE,F,1179,61538,2008-12-01,2005-09-12,2005-09-21
371,Y,41,43,12,M,BCR,PVE,F,1734,161538,2005-01-01,2009-06-01,2005-06-16
372,Y,44,46,9,M,BCR,STE,M,428,4170769,2011-08-08,2001-07-20,2008-04-21
373,Y,36,38,7,M,HGH,PVE,M,265,6,1979-12-02,2009-10-01,2009-12-30
374,Y,49,51,15,D,HGH,PVE,F,1671,969231,2015-07-24,2006-03-20,2001-11-17
376,Y,32,34,9,M,PRS,SFE,F,307,8384615,1983-11-07,2006-01-27,2007-07-13
387,Y,36,38,11,S,BCR,PVE,M,738,4615385,2005-03-24,2002-10-01,2006-02-04
388,Y,48,50,11,M,MAS,STE,M,362,7740769,1967-09-21,2005-02-21,2006-06-13
389,Y,61,63,15,M,BCR,RET,F,693,6522308,2007-09-14,9999-10-01,2002-01-25
400,Y,27,29,1,M,MAS,PVE,M,976,9307692,2015-08-16,2014-01-01,2015-07-14
407,Y,45,47,11,W,HGH,PVE,F,182,7193846,2008-07-25,2007-04-01,2005-07-13
408,Y,57,59,10,S,HGH,OTH,F,304,9334615,1998-01-27,9999-10-01,2007-04-20
414,Y,44,46,1,M,MAS,PVE,M,953,8538462,2015-03-01,2010-01-01,2015-07-29
422,Y,51,53,14,M,BCR,STE,M,791,5307692,1992-05-05,1992-08-03,2003-05-17
424,Y,59,61,12,M,BCR,STE,F,405,7512308,2008-10-01,2006-12-12,2004-08-24
425,Y,40,42,12,M,HGH,STE,F,310,76923,2002-01-01,9999-10-01,2004-12-27
437,Y,36,38,13,M,HGH,SFE,M,865,6153846,2014-04-19,2006-10-19,2003-11-20
438,Y,31,33,7,M,HGH,PVE,F,256,4102308,2009-09-01,2013-10-01,2009-11-16
439,Y,35,36,10,M,MAS,PVE,M,2478,689077,2006-07-01,2011-03-14,2007-04-10
444,Y,45,47,15,M,BCR,SFE,M,1680,76923,2009-04-20,2014-06-27,2002-02-18
445,Y,41,43,10,M,BCR,SFE,M,982,3384615,2004-01-09,2014-03-07,2007-07-04
450,Y,29,31,1,M,HGH,STE,M,519,7692308,2012-05-05,2011-08-17,2015-07-27
451,Y,40,41,9,M,BCR,PVE,M,283,5211538,2004-08-20,2002-02-01,2007-07-09
452,Y,40,42,10,M,HGH,PVE,M,683,2923077,1996-12-01,2009-09-01,2007-01-20
455,Y,35,36,1,M,BCR,PVE,M,961,5692308,1982-01-01,2008-04-15,2015-07-28
456,Y,41,43,11,M,HGH,PVE,F,216,823077,2002-04-25,2016-06-22,2005-10-27
457,Y,59,61,12,D,HGH,PVE,F,604,7500769,1976-09-01,2004-09-06,2004-09-11
462,Y,58,60,9,M,BCR,STE,F,793,5976923,2004-10-05,2004-05-12,2007-11-02
466,Y,42,44,12,M,HGH,PVE,M,278,258,2000-01-01,1998-02-01,2005-04-19
470,Y,43,44,12,M,BCR,STE,M,916,8358462,2003-12-23,2006-06-01,2004-08-02
477,Y,54,55,9,M,HGH,RET,M,326,9923077,2007-04-17,9999-10-01,2007-10-01
481,Y,45,46,11,M,HGH,STE,F,227,244615,1996-04-12,1998-01-01,2005-11-09
482,Y,47,49,12,M,BCR,STE,F,569,889231,2002-03-26,2000-06-01,2004-12-02
483,Y,46,48,13,M,BCR,STE,M,452,1337692,1978-07-02,1993-06-07,2004-04-22
491,Y,40,41,11,S,PRS,PVE,F,721,8036923,2008-04-21,2010-01-01,2006-03-29
492,Y,55,57,10,M,BCR,STE,F,816,3286923,2005-09-07,1990-05-15,2006-09-04
494,Y,30,32,7,S,HGH,PVE,M,438,7538462,1985-04-11,2014-11-07,2009-10-09
495,Y,41,43,9,M,SEC,PVE,M,120,125,2007-02-06,1996-03-01,2008-03-07
496,Y,35,37,12,S,BCR,SFE,M,1001,269231,2005-05-12,2011-08-01,2005-06-30
502,Y,37,39,14,M,BCR,PVE,F,630,7692308,2008-01-01,2008-01-09,2003-01-08
507,Y,52,54,14,M,HGH,PVE,F,775,1041538,1963-08-09,2003-06-16,2003-06-16
513,Y,46,48,12,M,BCR,PVE,M,2769,230769,2002-04-26,2010-09-01,2004-09-17
514,Y,29,31,11,S,BCR,PVE,M,740,3452308,1997-12-12,2015-01-22,2005-08-02
517,Y,42,44,9,M,HGH,PVE,M,223,6280769,2008-01-23,2011-06-20,2007-09-12
519,Y,40,42,10,M,BCR,PVE,F,1634,44385,2001-01-01,2007-01-08,2007-01-09
523,Y,47,49,9,M,BCR,PVE,M,807,7153846,1968-04-04,2007-11-03,2008-04-22
525,Y,31,33,9,M,BCR,STE,F,284,6153846,2007-09-11,2004-11-15,2008-02-26
529,Y,51,52,14,M,BCR,PVE,M,1230,769231,1966-01-01,2005-09-01,2002-09-27
533,Y,35,37,4,M,PRS,SFE,M,276,9230769,2015-03-01,2012-12-04,2012-12-24
536,Y,56,58,13,W,BCR,PVE,M,1165,407692,2005-09-15,2002-03-10,2003-07-14
542,Y,59,61,9,W,HGH,OTH,F,202,3513846,2006-08-03,9999-10-01,2007-07-23
549,Y,62,64,13,M,HGH,RET,M,264,9677692,2004-09-27,2005-01-01,2004-06-01
555,Y,57,59,11,M,BCR,STE,F,639,9062308,2005-10-20,1998-11-02,2005-11-23
556,Y,43,45,12,S,BCR,PVE,M,1389,592308,1980-08-30,2007-02-01,2005-06-29
574,Y,37,39,12,D,BCR,PVE,F,338,7923077,2010-08-20,2009-02-01,2005-06-25
579,Y,41,42,9,M,BCR,PVE,M,1413,222538,1993-06-01,2013-03-01,2008-03-25
585,Y,35,37,7,M,BCR,PVE,F,946,1538462,1980-12-28,2015-01-01,2010-06-08
586,Y,53,55,1,W,BCR,STE,F,374,4461538,2005-09-01,2006-01-23,2015-10-05
588,Y,27,29,1,S,BCR,PVE,M,493,7538462,1988-11-15,2014-12-23,2015-10-01
592,Y,33,34,11,M,BCR,OTH,M,1097,679231,2010-09-01,9999-10-01,2005-08-17
595,Y,36,37,1,D,BCR,PVE,M,25741,92,2014-10-04,2012-12-06,2015-09-21
600,Y,39,40,10,M,BCR,PVE,F,930,9208462,2005-04-01,2006-07-24,2006-07-24
609,Y,46,48,11,S,BCR,STE,F,356,9516923,2005-04-18,1992-09-01,2005-09-26
610,Y,33,35,11,M,BCR,PVE,F,831,6582308,1982-11-17,2009-03-01,2005-11-24
612,Y,42,43,9,M,PHD,STE,F,1050,769231,1974-02-19,2004-01-01,2008-06-20
616,Y,42,44,1,M,BCR,STE,M,785,352,2007-07-17,2004-08-01,2015-07-27
620,Y,42,43,11,M,HGH,PVE,F,463,5230769,2015-11-02,2009-05-01,2005-09-07
623,Y,33,35,1,M,HGH,STE,F,254,1391538,2016-01-01,2010-07-01,2015-10-06
624,Y,47,48,4,M,BCR,PVE,M,1100,311231,2000-05-01,1995-03-06,2012-12-04
625,Y,39,40,13,M,MAS,PVE,M,3057,874385,2011-12-15,2004-06-01,2004-06-02
626,Y,44,45,14,M,HGH,PVE,M,3623,176923,2007-05-01,1994-11-01,2003-01-10
633,Y,45,46,11,M,HGH,PVE,M,393,6163846,1971-03-01,1991-04-01,2005-08-29
641,Y,47,48,1,M,HGH,PVE,M,219,9783077,2014-09-10,2000-02-01,2015-10-28
647,Y,55,57,12,M,BCR,STE,F,874,4060769,1996-10-18,1987-04-05,2005-05-28
659,Y,55,56,13,M,BCR,PVE,M,162,9586923,1998-12-14,2007-10-30,2003-10-01
662,Y,38,40,13,M,HGH,PVE,M,2022,638462,1988-06-02,2009-03-01,2003-07-07
666,Y,41,42,9,M,BCR,PVE,M,949,6538462,2011-11-07,2011-10-01,2007-08-10
667,Y,22,23,2,S,HGH,PVE,M,207,9461538,2014-01-01,2016-04-10,2014-12-26
668,Y,48,49,12,D,HGH,STE,F,432,5195385,1988-03-01,2004-05-19,2004-07-13
669,Y,36,38,13,S,HGH,PVE,M,787,6230769,2012-02-01,2007-08-13,2004-06-08
670,Y,31,33,9,S,MAS,PVE,M,720,3076923,2014-02-01,2009-12-15,2008-02-05
672,Y,36,37,9,M,BCR,PVE,F,599,832,2007-06-20,2008-03-05,2008-03-10
673,Y,38,39,11,S,BCR,SFE,F,400,275,2011-11-02,2013-12-04,2005-11-04
677,Y,30,31,2,M,BCR,PVE,F,480,4772308,2011-10-07,2014-05-01,2015-04-27
680,Y,26,27,2,S,BCR,PVE,F,657,1384615,2015-01-01,2015-02-01,2014-12-25
682,Y,36,37,12,M,BCR,PVE,F,632,4769231,1980-04-06,2005-04-05,2005-02-09
685,Y,39,41,12,M,BCR,STE,F,451,1891538,2007-05-17,2006-11-16,2004-12-27
689,Y,35,36,9,S,BCR,PVE,M,573,307692,2010-10-05,2007-09-20,2007-09-26
690,Y,33,34,9,S,BCR,PVE,F,687,4929231,2007-06-01,2008-03-03,2007-08-08
691,Y,37,39,9,D,BCR,PVE,M,1080,47385,2015-12-01,2008-01-01,2008-01-03
692,Y,29,31,10,S,BCR,PVE,M,1745,261538,2014-01-01,2013-03-01,2007-06-05
693,Y,33,34,8,M,HGH,PVE,M,484,8692308,2003-01-01,2010-09-01,2009-02-20
694,Y,63,64,13,M,BCR,RET,F,462,3871538,1989-09-01,9999-10-01,2003-12-12
697,Y,37,38,10,S,MAS,PVE,F,2008,284615,2010-03-01,2008-08-18,2006-12-23
698,Y,43,44,13,M,BCR,PVE,M,1799,184615,2012-01-01,2004-04-05,2004-04-08
700,Y,41,42,15,M,BCR,SFE,M,2083,333308,1975-08-24,2008-03-01,2002-02-09
701,Y,45,46,10,M,MAS,STE,M,741,4307692,2010-12-01,2014-10-01,2007-03-17
702,Y,48,49,11,M,HGH,PVE,F,448,4909231,1996-01-01,2005-10-03,2005-10-15
704,Y,53,55,13,M,PHD,STE,M,1050,653846,2008-11-03,1987-01-01,2003-11-28
705,Y,45,47,14,M,BCR,STE,M,810,6923077,2015-04-01,2005-11-01,2002-10-29
708,Y,42,43,15,M,MAS,PVE,F,1453,490077,2004-09-01,2003-03-01,2001-11-15
709,Y,33,34,8,S,PHD,STE,M,920,4846154,1992-06-20,2009-02-02,2008-11-24
711,Y,43,45,6,M,HGH,STE,M,326,9692308,2015-04-01,1999-02-01,2010-11-24
713,Y,38,40,12,M,BCR,PVE,F,2831,87154,1977-12-14,2006-05-15,2005-04-25
714,Y,53,54,13,W,BCR,STE,F,581,3351538,2004-01-01,1990-10-08,2004-03-17
718,Y,34,35,12,M,HGH,PVE,M,536,496154,1983-05-01,2009-03-04,2005-05-17
720,Y,50,51,11,M,BCR,PVE,M,656,9923077,1966-02-21,1994-07-20,2005-10-25
722,Y,51,53,11,M,BCR,SFE,F,505,1410769,1996-06-01,2011-01-26,2005-08-31
723,Y,34,35,11,S,PHD,STE,F,1141,207923,1982-05-18,2007-05-01,2006-01-26
726,Y,50,52,12,M,BCR,PVE,M,2328,584615,1993-09-09,2011-04-21,2005-05-25
729,Y,51,52,15,M,BCR,PVE,F,465,6902308,2009-06-19,2008-08-01,2001-09-14
730,Y,34,35,10,M,BCR,PVE,F,1032,61538,2009-10-12,2011-02-03,2007-03-12
731,Y,36,37,6,M,HGH,SFE,F,358,9769231,2015-09-01,2013-01-16,2011-02-25
732,Y,36,37,10,M,HGH,PVE,F,478,2474615,2001-11-13,2006-09-04,2006-09-14
733,Y,59,60,1,M,PHD,STE,F,1211,844077,2003-04-01,1991-09-23,2016-02-09
737,Y,34,35,6,S,BCR,PVE,F,1183,684615,2015-09-01,2010-11-01,2010-11-11
738,Y,27,29,5,S,MAS,STE,M,846,1538462,2013-05-01,2013-10-01,2011-07-15
739,Y,34,36,9,M,BCR,PVE,F,398,5703846,2009-06-08,2011-06-01,2007-07-30
741,Y,36,37,1,M,BCR,PVE,M,2890,715385,2013-10-04,2008-04-01,2016-02-04
742,Y,55,56,10,S,BCR,STE,F,447,8649231,1997-01-01,2010-02-01,2006-09-09
750,Y,36,37,9,S,BCR,PVE,M,1163,180615,1989-11-29,2007-12-03,2007-12-12
751,Y,31,33,2,M,BCR,PVE,F,308,9153846,2015-04-01,2014-07-14,2015-01-06
758,Y,28,30,2,S,HGH,STE,M,489,3615385,2013-02-15,2013-12-05,2015-04-21
762,Y,37,38,7,M,BCR,PVE,M,858,6666154,1991-01-01,2009-01-02,2010-04-21
763,Y,29,31,3,M,BCR,PVE,M,428,4012308,2009-01-01,2010-09-21,2014-03-21
765,Y,52,54,13,M,BCR,SFE,M,13234,37692,2015-01-01,2005-03-01,2003-10-29
767,Y,61,62,5,M,BCR,PVE,F,835,936,1979-05-19,2014-12-01,2011-10-18
768,Y,35,37,11,M,HGH,PVE,F,857,5095385,2011-11-01,2007-05-03,2006-05-19
771,Y,30,31,4,M,BCR,PVE,F,477,3846154,2016-04-22,2014-01-13,2012-11-08
773,Y,53,54,13,M,HGH,PVE,M,1643,76923,1996-09-06,2002-09-30,2003-07-10
776,Y,40,41,1,M,BCR,PVE,M,446,4384615,2015-02-12,2010-06-29,2016-03-22
780,Y,41,42,13,M,BCR,PVE,M,3657,7,2012-06-10,2003-01-08,2003-09-22
781,Y,34,35,9,M,BCR,PVE,M,846,1538462,2007-03-01,2015-04-16,2008-03-25
782,Y,37,39,13,M,HGH,SFE,M,195,384615,2004-01-01,2009-06-09,2004-01-06
784,Y,28,29,4,S,MAS,PVE,M,1172,997692,1994-01-01,2013-03-09,2013-03-11
793,Y,25,26,13,S,BCR,PVE,F,923,769231,2000-06-01,2015-09-01,2004-03-25
797,Y,31,32,8,M,BCR,PVE,F,926,1538462,2013-05-01,2010-10-01,2008-07-09
799,Y,35,36,1,M,HGH,STE,M,631,4769231,1985-03-23,2001-12-20,2016-03-18
806,Y,48,49,10,M,BCR,PVE,M,674,687692,2007-07-27,2012-08-01,2007-06-14
810,Y,52,53,5,M,BCR,SFE,M,914,3384615,2015-08-01,2002-02-01,2012-01-19
817,Y,54,55,11,M,BCR,STE,F,512,2129231,2005-12-01,2002-09-25,2005-09-12
820,Y,36,37,11,M,BCR,STE,M,961,8,1982-01-01,2013-05-07,2006-01-27
823,Y,28,29,6,S,HGH,STE,M,722,7153846,1998-12-01,2008-02-01,2010-09-16
826,Y,38,39,12,S,BCR,PVE,M,1141,84615,1995-10-01,2014-02-01,2004-10-01
834,Y,28,29,1,M,HGH,STE,F,251,5076923,2014-10-01,2008-03-10,2016-01-13
840,Y,38,39,12,M,BCR,PVE,F,398,2396154,2008-01-14,2005-04-18,2005-04-20
844,Y,49,50,11,M,BCR,PVE,F,865,2230769,2014-09-01,2006-06-01,2005-09-24
847,Y,30,31,7,S,HGH,PVE,M,621,7615385,1986-03-15,2010-05-24,2010-05-26
848,Y,39,40,15,M,BCR,PVE,M,839,9756154,2012-01-01,2010-11-01,2001-12-22
850,Y,38,39,12,M,BCR,PVE,M,1889,792308,2007-01-01,2004-07-08,2004-07-14
851,Y,33,34,3,M,BCR,PVE,F,730,2461538,2013-01-01,2014-08-01,2013-12-04
853,Y,42,43,14,M,BCR,SFE,F,230,7692308,1998-09-01,2014-10-23,2003-03-12
858,Y,51,52,4,W,SEC,RET,F,1259,376308,1982-06-15,9999-10-01,2013-05-17
861,Y,39,40,10,S,BCR,STE,F,724,615385,1977-05-20,2014-01-13,2006-08-28
862,Y,48,49,11,M,BCR,SFE,M,269,2307692,2007-01-01,2006-11-11,2006-01-26
868,Y,29,29,1,S,HGH,PVE,M,1428,2007-06-05,2015-09-01,2016-01-22,103858
869,Y,38,39,11,S,HGH,STE,F,1040,334462,1989-11-01,2005-12-12,2005-12-23
870,Y,40,41,9,M,HGH,PVE,M,511,5384615,2015-04-01,2015-05-17,2008-04-02
871,Y,31,32,1,S,HGH,OTH,M,461,5769231,1998-01-01,9999-10-01,2016-05-18
873,Y,40,41,13,M,BCR,PVE,M,455,955385,2010-01-01,2004-09-06,2004-03-29
874,Y,54,55,10,M,PHD,STE,F,1235,227538,1996-06-01,1996-01-01,2006-07-15
877,Y,34,35,1,M,BCR,OTH,F,882,7535385,9999-10-01,9999-10-01,2016-03-22
879,Y,31,32,8,S,BCR,PVE,M,1110,256385,2016-08-26,2011-06-21,2009-01-06
885,Y,36,37,9,M,PRS,SFE,F,339,8725385,1980-12-18,2013-07-03,2007-12-03
887,Y,35,36,8,M,BCR,PVE,F,511,3677692,1981-06-24,2008-08-13,2008-08-13
892,Y,35,36,11,M,BCR,PVE,F,1159,284462,2009-10-01,2015-12-21,2006-05-31
897,Y,55,56,12,D,HGH,PVE,M,1943,76923,1961-10-19,2001-05-01,2005-04-15
902,Y,53,53,14,M,BCR,STE,M,1429,534077,2002-01-01,1991-11-18,2003-06-28
906,Y,50,51,2,W,HGH,PVE,F,346,1846154,2008-07-01,2007-05-01,2014-12-27
908,Y,43,44,14,D,BCR,PVE,F,4484,253846,1983-04-01,2008-06-16,2003-05-20
911,Y,38,39,6,M,BCR,PVE,M,1284,669231,2011-05-01,2011-03-01,2011-04-08
912,Y,37,38,14,M,BCR,PVE,F,1137,846154,2004-10-01,2004-04-01,2002-10-22
913,Y,35,36,6,M,BCR,PVE,M,7799,323077,2013-07-04,2016-04-11,2011-02-03
